Selection	View	Channel	Begin.Time..s.	End.Time..s.	Low.Freq..Hz.	High.Freq..Hz.	Peak.Freq..Hz.	Begin.File	Dur.90...s.	BW.90...Hz.	Center.Freq..Hz.	Freq.5...Hz.	Freq.95...Hz.	PFC.Num.Inf.Pts	Notes	SNR	RMS	FreqRange	CallType	seconds_elapsed	Time_of_Day	Time_Only	Time	Time.y	Period	End_Time
11	Waveform 1	1	9583.103883	9584.804086	15.742	187.99	NA	bp23_206f002_2kHz.wav	NA	NA	NA	NA	NA	NA	call	13	143	LF	LFDB	9583.103883	2023-07-25T18:38:52Z	18:38:52	2023-07-25T18:38:00Z	2023-07-25T18:38:00Z	Day	2023-07-25T18:39:00Z
11	Spectrogram 1	1	9583.103883	9584.804086	15.742	187.99	31.25	bp23_206f002_2kHz.wav	0.64	93.75	31.25	23.438	117.188	6	call	13	143	LF	LFDB	9583.103883	2023-07-25T18:38:52Z	18:38:52	2023-07-25T18:38:00Z	2023-07-25T18:38:00Z	Day	2023-07-25T18:39:00Z
13	Waveform 1	1	9916.106991881	9917.165513	9.894	48.234	NA	bp23_206f002_2kHz.wav	NA	NA	NA	NA	NA	NA	pulse	11	142	LF	LFD	9916.106991881	2023-07-25T18:44:25Z	18:44:25	2023-07-25T18:44:00Z	2023-07-25T18:44:00Z	Day	2023-07-25T18:45:00Z
13	Spectrogram 1	1	9916.106991881	9917.165513	9.894	48.234	31.25	bp23_206f002_2kHz.wav	0.576	23.438	31.25	15.625	39.062	0	pulse	11	142	LF	LFD	9916.106991881	2023-07-25T18:44:25Z	18:44:25	2023-07-25T18:44:00Z	2023-07-25T18:44:00Z	Day	2023-07-25T18:45:00Z
15	Waveform 1	1	394.557924511	395.612553774	11.369	51.597	NA	bp23_206f001_2kHz.wav	NA	NA	NA	NA	NA	NA	pulse	11	143	LF	LFD	394.557924511	2023-07-25T16:05:43Z	16:05:43	2023-07-25T16:05:00Z	2023-07-25T16:05:00Z	Day	2023-07-25T16:06:00Z
15	Spectrogram 1	1	394.557924511	395.612553774	11.369	51.597	23.438	bp23_206f001_2kHz.wav	0.512	15.625	23.438	15.625	31.25	2	pulse	11	143	LF	LFD	394.557924511	2023-07-25T16:05:43Z	16:05:43	2023-07-25T16:05:00Z	2023-07-25T16:05:00Z	Day	2023-07-25T16:06:00Z
17	Waveform 1	1	1274.793289486	1275.894566	8.745	53.347	NA	bp23_206f001_2kHz.wav	NA	NA	NA	NA	NA	NA	pulse	10	141	LF	LFD	1274.793289486	2023-07-25T16:20:23Z	16:20:23	2023-07-25T16:20:00Z	2023-07-25T16:20:00Z	Day	2023-07-25T16:21:00Z
17	Spectrogram 1	1	1274.793289486	1275.894566	8.745	53.347	23.438	bp23_206f001_2kHz.wav	0.512	15.625	23.438	15.625	31.25	0	pulse	10	141	LF	LFD	1274.793289486	2023-07-25T16:20:23Z	16:20:23	2023-07-25T16:20:00Z	2023-07-25T16:20:00Z	Day	2023-07-25T16:21:00Z
19	Waveform 1	1	1688.173983	1689.381665	10.494	45.476	NA	bp23_206f001_2kHz.wav	NA	NA	NA	NA	NA	NA	pulse	11	143	LF	LFD	1688.173983	2023-07-25T16:27:17Z	16:27:17	2023-07-25T16:27:00Z	2023-07-25T16:27:00Z	Day	2023-07-25T16:28:00Z
19	Spectrogram 1	1	1688.173983	1689.381665	10.494	45.476	31.25	bp23_206f001_2kHz.wav	0.512	15.625	31.25	23.438	39.062	0	pulse	11	143	LF	LFD	1688.173983	2023-07-25T16:27:17Z	16:27:17	2023-07-25T16:27:00Z	2023-07-25T16:27:00Z	Day	2023-07-25T16:28:00Z
21	Waveform 1	1	1918.135321	1919.229534	11.369	56.441	NA	bp23_206f001_2kHz.wav	NA	NA	NA	NA	NA	NA	pulse	10	141	LF	LFD	1918.135321	2023-07-25T16:31:07Z	16:31:07	2023-07-25T16:31:00Z	2023-07-25T16:31:00Z	Day	2023-07-25T16:32:00Z
21	Spectrogram 1	1	1918.135321	1919.229534	11.369	56.441	31.25	bp23_206f001_2kHz.wav	0.512	23.438	23.438	15.625	39.062	0	pulse	10	141	LF	LFD	1918.135321	2023-07-25T16:31:07Z	16:31:07	2023-07-25T16:31:00Z	2023-07-25T16:31:00Z	Day	2023-07-25T16:32:00Z
